Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,Animal_Type
7,13,0.271956473,0.274186533,0.074175657,0.074678963,2,1,2
7,13,0.271956473,0.283543911,0.074175657,0.082113349,1,2,2
7,13,0.271956473,0.270914906,0.074175657,0.073330497,2,2,2
7,14,0.344533911,0.348106634,0.083814555,0.083107046,1,1,2
7,14,0.344533911,0.343971647,0.083814555,0.083911505,2,1,2
7,14,0.344533911,0.394344188,0.083814555,0.08887693,1,2,2
7,14,0.344533911,0.341700393,0.083814555,0.082619494,2,2,2
7,15,0.346491888,0.406257141,0.097351363,0.074493917,1,1,2
7,15,0.346491888,0.338653822,0.097351363,0.097275634,2,1,2
7,15,0.346491888,0.354474954,0.097351363,0.068380746,1,2,2
7,15,0.346491888,0.345590574,0.097351363,0.100056832,2,2,2
7,16,0.313556954,0.278179558,0.066312229,0.084081375,1,1,2
7,16,0.313556954,0.316429828,0.066312229,0.063799765,2,1,2
7,16,0.313556954,0.306287794,0.066312229,0.074154545,1,2,2
7,16,0.313556954,0.314039347,0.066312229,0.065730279,2,2,2
7,2,0.364154058,0.321274093,0.082197141,0.068825322,1,1,2
7,2,0.364154058,0.368987799,0.082197141,0.082178956,2,1,2
7,2,0.364154058,0.335054562,0.082197141,0.066675819,1,2,2
7,2,0.364154058,0.366026547,0.082197141,0.082746989,2,2,2
7,3,0.359549196,0.324903207,0.090231899,0.101600113,1,1,2
7,3,0.359549196,0.365170998,0.090231899,0.086957199,2,1,2
7,3,0.359549196,0.342671901,0.090231899,0.125317031,1,2,2
7,3,0.359549196,0.361105259,0.090231899,0.086115356,2,2,2
7,4,0.343931506,0.265379769,0.063103698,0.054875214,1,1,2
7,4,0.343931506,0.348976113,0.063103698,0.060188954,2,1,2
7,4,0.343931506,0.31444654,0.063103698,0.057790348,1,2,2
7,4,0.343931506,0.345305993,0.063103698,0.063004802,2,2,2
7,5,0.292669364,0.279075938,0.088172333,0.086930099,1,1,2
7,5,0.292669364,0.295479178,0.088172333,0.088165936,2,1,2
7,5,0.292669364,0.273791936,0.088172333,0.074956087,1,2,2
7,5,0.292669364,0.29449003,0.088172333,0.089132541,2,2,2
7,6,0.344016286,0.300685626,0.062126962,0.086858583,1,1,2
