Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,,Animal_Type
pig1742,channel11,0.29971972,0.30010478,0.062066933,0.062134847,Non Event,Coact_Mean,,N
pig1742,channel11,0.29971972,0.278930663,0.062066933,0.064591846,Event,Coact_STD,,N
pig1742,channel11,0.29971972,0.299949466,0.062066933,0.061999524,Non Event,Coact_STD,,N
pig1742,channel12,0.362857663,0.34575548,0.071337778,0.032766134,Event,Coact_Mean,,N
pig1742,channel12,0.362857663,0.363111068,0.071337778,0.071722926,Non Event,Coact_Mean,,N
pig1742,channel12,0.362857663,0.350969357,0.071337778,0.030732251,Event,Coact_STD,,N
pig1742,channel12,0.362857663,0.362973264,0.071337778,0.071610005,Non Event,Coact_STD,,N
pig1742,channel13,0.325519692,0.317622691,0.078268862,0.052159191,Event,Coact_Mean,,N
pig1742,channel13,0.325519692,0.325609494,0.078268862,0.078511289,Non Event,Coact_Mean,,N
pig1742,channel13,0.325519692,0.319550532,0.078268862,0.052082521,Event,Coact_STD,,N
pig1742,channel13,0.325519692,0.325569412,0.078268862,0.078448375,Non Event,Coact_STD,,N
pig1742,channel14,0.352851514,0.361597636,0.076361155,0.037085603,Event,Coact_Mean,,N
pig1742,channel14,0.352851514,0.352742962,0.076361155,0.076716139,Non Event,Coact_Mean,,N
pig1742,channel14,0.352851514,0.367620697,0.076361155,0.040550749,Event,Coact_STD,,N
pig1742,channel14,0.352851514,0.352743573,0.076361155,0.076550756,Non Event,Coact_STD,,N
pig1742,channel15,0.393485882,0.36517779,0.070217507,0.058285635,Event,Coact_Mean,,N
pig1742,channel15,0.393485882,0.393865941,0.070217507,0.070286419,Non Event,Coact_Mean,,N
pig1742,channel15,0.393485882,0.378823405,0.070217507,0.046899733,Event,Coact_STD,,N
pig1742,channel15,0.393485882,0.393616535,0.070217507,0.070376841,Non Event,Coact_STD,,N
pig1742,channel16,0.454859101,0.418242684,0.06264387,0.063106984,Event,Coact_Mean,,N
pig1742,channel16,0.454859101,0.455350527,0.06264387,0.062491897,Non Event,Coact_Mean,,N
pig1742,channel16,0.454859101,0.430112888,0.06264387,0.063663226,Event,Coact_STD,,N
